,0
0,can one of you clowns ask why he went to epstein's island so many times?
1,"when we are forced to walk around with ""smart"" phones & ai is unleashed on the www. then we are lost before 2026-2029. the phones & ai must be given limited capabilities and stripped of power over their own being. simply, we must always have final control over the on/off button!"
2,is again the richest man on earth. the media acts like he should be ashamed of his accomplishments. the media sux's dog chit.
3,maybe you can call in the to finish off the job. it reminds me of when captain america has to take on the government in winter soldier.
4,i love how elons old version tech is still world class and he just stops using it because he's got better stuff now countries would kill to get his leftover tech
5,it's a danger to our national security and that was these guys job and now they will try anything to evade responsibility. it's been almost 8 years of an attempt to disenfranchise the american people. it's time the facts can't stay their responsibility. they embezzled money!
6,"it also owes a lot more to the natives of usa still live on reservations, and who have been forgotten"
7,"why would they? the likes of raytheon, northrop, honeywell, etc are making money hand over fist. anyone who has an aerospace engineering degree who doesn't work for you is making more money than they ever had during their indoctrination (college) years. and most offer remote work"
8,i enjoy twitter much more today than when it was a liberal propaganda foghorn.
9,"elon musk is the richest person in the world again.
musk's net worth was some $187.1 billion as of monday after markets closed, according to bloomberg, just topping the $185.3 billion fortune of arnault."
10,stepping on lego is also a. symptom of covid
11,that's scary news.
12,there is no space stop it elon earth is flat
13,it's a race thing the jews control the media and they want black and white people to not like each other
14,"no, your ego made the offer to buy twitter and laws written by and for rich people forced you to actually buy it. nice try though."
15,elon musk says the us media is 'racist against whites and asians' via
16,this feels like the iphone in 2006
17,so the microsoft guy is a climate expert
18,"if the answer was no, you think he'd say it publicly?
what was point of this question i wonder.."
19,the long-term benefits of a moon base outweigh the initial risks. people can think of at least 100 reasons we need a moon base. start moon base crowdfunds for us all to participate. people of the earth unite in a new utopia for the next generation. no politicians
20,"but they are ""mostly peaceful"", eh?
i love americans"
21,"i guess america's treasury secretary could not find any, poor, unfortunate americans in need of a few billion dollars of financial assistance?"
22,great so they can train and be faster
23,"hans, why do you respond? no one really cares about what lying joe pags says. look at his tweets. most have 0 engagement. he was bitching yesterday on his radio show about how elon still has not fixed the algorithm. simple fact is no one really cares about what he has to say."
24,"he's not attempting to defend russia.
the fact is that these are both corrupt, illiberal slavic states, involved in a regional conflict.
neither is worth spending billions and risking ww3 to defend.
ukraine is not somehow the lynchpin of democracy."
25,thanks for sharing your pov/insights.
26,"just like plenty of times post in support of palestinians are taken down from social media.
is that right wing evangelical police doing that ?"
27,"no one alive today will ever walk barefoot on another planet/moon.
however, i will ride a motorcycle on mars. only to perish with no religion or insects.
ahem"
28,tesla request tax relief package totaling $412 million
29,he needs to stick to what he's good at he's nothing more than a computer nerd
30,"day 2 of asking to help me get a hair transplant
i'm jealous of his immaculate hairline"
31,again he's the only one
32,"200,000 lives putin has extinguished, when is a free speech absolutist gonna say it's time for putin to kick the bucket?!?!"
33,"elon musk has approached ai researchers in recent weeks about forming a new research lab to develop an alternative to openai's chatgpt, the informationreportedon monday, citing people with direct knowledge of the effort"
34,"you trolled yourself into buying it from what i remember
the forced aspect was from the binding contract you signed"
35,"according to elon fsd needs to be 10-1000 x better than human
- a 6 sigma or any fsd accident will be a huge lawsuit waiting & regulatory won't every be given for level 5
so it will be driver assist for the next many years .."
36,"myself, i don't have a problem with age limits. our founding fathers never thought that people would live that long. you do realize that the congress would never approve of something like that. humanity doubled its life expectancy in the 20st century."
37,the reporting system on twitter has been weaponized by ideologues to shut down open discussion on the serious issue of racial violence in america. please enable quicker appeals and more transparency in the process.
38,inside info from the russian himself
39,"tell me abt it.
some watch & participate in the suffering of others. they write books, get publishing advances & royalties.
not. impressed."
40,elon musk recruits team to develop openai's chatgpt rival - the information | reuters
41,this is so annoying:
42,twitter has given a strike for simply pointing out a verifiable fact. addressing the reality of racial violence in the us is not .
43,can i get a free tesla
44,what would the us do if mexico decides to enter strategic alliance with russia and china?? wouldnt it also invade? or would they lean back?
45,that's suck
46,"yes,but as france proved in ww2 relying solely on defense is a losing strategy. you need to at least be able to counterattack locally."
47,just doesn't approve of consequences for bad actions. what a loser
48,bnbtiger is pure decentralized finance with elon musk zero reduction experiment...this is the next shiba in bnbchain
